order,word,others,sum,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,min,avg,max,std
1,visualization,visualiz(/s)*,1000,31,41,38,28,35,37,42,42,39,32,41,30,26,35,41,55,49,42,33,42,41,43,61,44,52,26,40.0,61,8.3
2,data,dataset(s),451,11,10,12,12,14,15,20,19,19,12,12,15,10,22,13,23,18,24,21,24,20,24,27,23,31,10,18.0,31,5.9
3,analysis,analytics,297,1,2,3,3,2,8,1,3,3,2,1,2,2,3,3,8,22,27,23,25,20,27,30,30,46,1,11.9,46,13.1
4,visual,visually,286,1,1,2,3,0,2,1,2,2,5,6,3,4,4,4,6,17,19,24,29,20,28,27,29,47,0,11.4,47,12.8
5,interaction,interact*,266,4,4,4,6,1,7,10,6,8,8,9,7,8,8,12,9,12,13,18,19,18,16,21,16,22,1,10.6,22,5.8
6,volume,volumes,266,6,9,10,8,13,11,11,13,6,8,11,9,10,22,12,19,12,11,10,11,7,11,10,9,7,6,10.6,22,3.6
7,multi,multiple,247,5,7,3,1,6,2,11,11,9,7,9,8,10,9,8,10,14,16,15,14,12,18,12,13,17,1,9.9,18,4.5
8,based,,178,4,1,2,1,1,3,3,3,8,9,4,3,6,14,9,8,6,8,13,10,8,16,11,11,16,1,7.1,16,4.6
9,exploration,explor*,176,1,2,0,3,0,3,4,6,2,6,1,5,3,8,8,7,13,7,11,15,9,12,13,17,20,0,7.0,20,5.5
10,surface,*surface(s),167,4,0,7,3,9,7,6,7,11,3,8,6,11,9,8,8,7,8,7,12,5,8,6,4,3,0,6.7,12,2.8
11,rendering,render,156,4,1,6,3,8,5,7,5,4,9,7,6,13,12,11,14,5,6,2,8,4,3,7,5,1,1,6.2,14,3.5
12,field,fields,139,3,5,4,4,4,2,4,9,6,12,4,5,5,8,8,11,3,3,4,4,4,10,8,3,6,2,5.6,12,2.7
13,time,,124,0,3,3,1,1,4,7,5,3,7,4,5,1,7,8,6,9,5,6,6,4,6,11,7,5,0,5.0,11,2.7
14,flow,,123,1,3,3,8,10,6,4,4,2,2,4,1,1,4,6,6,2,4,5,4,6,12,7,6,12,1,4.9,12,3.1
