order,word,others,sum,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,min,avg,max,std
1,visualization,visualiz(/s)*,1000,173,192,173,221,241,173,200.0,241,30.2
2,data,dataset(s),451,59,85,72,110,125,59,90.2,125,27.1
3,analysis,analytics,297,11,17,11,105,153,11,59.4,153,65.8
4,visual,visually,286,7,12,21,95,151,7,57.2,151,63.4
5,interaction,interact*,266,19,39,44,71,93,19,53.2,93,29.0
6,volume,volumes,266,46,49,64,63,44,44,53.2,64,9.6
7,multi,multiple,247,22,40,44,69,72,22,49.4,72,21.0
8,based,,178,9,26,36,45,62,9,35.6,62,19.9
9,exploration,explor*,176,6,21,25,53,71,6,35.2,71,26.3
10,surface,*surface(s),167,23,34,42,42,26,23,33.4,42,8.8
11,rendering,render,156,22,30,49,35,20,20,31.2,49,11.6
12,field,fields,139,20,33,30,25,31,20,27.8,33,5.3
13,time,,124,8,26,25,32,33,8,24.8,33,10.0
14,flow,,123,25,18,16,21,43,16,24.6,43,10.8
15,dimension,dimension*,120,24,19,23,14,40,14,24.0,40,9.8
16,large,,116,7,19,24,34,32,7,23.2,34,10.9
17,information,,112,4,35,20,24,29,4,22.4,35,11.7
18,3d,three (dim*),110,25,26,19,18,22,18,22.0,26,3.5
19,model,model*,102,11,16,25,13,37,11,20.4,37,10.7
20,design,designing,98,11,22,15,8,42,8,19.6,42,13.6
21,system,system*,95,26,13,15,15,26,13,19.0,26,6.4
22,high,higher,89,5,10,17,25,32,5,17.8,32,10.9
23,space,spaces,89,9,14,19,15,32,9,17.8,32,8.7
24,study,studies,86,8,16,31,8,23,8,17.2,31,9.9
25,technique,techniques,80,18,18,17,13,14,13,16.0,18,2.3
26,dynamic,dynamics,76,8,18,14,17,19,8,15.2,19,4.4
27,graph,graphs,65,1,2,15,28,19,1,13.0,28,11.5
28,vector,vectors,63,8,19,17,8,11,8,12.6,19,5.1
29,image,images,62,6,15,16,7,18,6,12.4,18,5.5
30,case,cases,60,8,14,29,5,4,4,12.0,29,10.3
31,scale,*scale,53,3,6,7,19,18,3,10.6,19,7.4
32,evaluation,evaluat*,52,2,5,10,12,23,2,10.4,23,8.1
33,virtual,,49,13,14,12,5,5,5,9.8,14,4.4
34,extraction,extract*,48,3,11,12,12,10,3,9.6,12,3.8
35,parallel,,47,10,6,2,16,13,2,9.4,16,5.5
36,approach,approaches,47,2,6,4,13,22,2,9.4,22,8.2
37,framework,,46,0,8,7,10,21,0,9.2,21,7.6
38,efficient,efficiency,42,1,12,10,10,9,1,8.4,12,4.3
39,fast,,42,7,11,13,5,6,5,8.4,13,3.4
40,real,,36,3,12,9,6,6,3,7.2,12,3.4
